id,gender,seniorCitizen,partner,dependents,tenure,phoneService,multipleLines,internetService,onlineSecurity,onlineBackup,deviceProtection,techSupport,streamingTV,streamingMovies,contract,paperlessBilling,paymentMethod,monthlyCharges,totalCharges,churn,date
1,Female,False,True,False,1,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,29.85,29.85,False,2025-02-15
2,Male,False,False,False,34,True,No,DSL,Yes,No,Yes,No,No,No,One year,False,Mailed check,56.95,1889.5,False,2024-12-18
3,Male,False,False,False,2,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,True,Mailed check,53.85,108.15,True,2024-07-15
4,Male,False,False,False,45,False,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,False,Bank transfer (automatic),42.3,1840.75,False,2024-07-14
5,Female,False,False,False,2,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,70.7,151.65,True,2025-04-23
6,Female,False,False,False,8,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,99.65,820.5,True,2024-05-26
7,Male,False,False,True,22,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Credit card (automatic),89.1,1949.4,False,2024-06-20
8,Female,False,False,False,10,False,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,False,Mailed check,29.75,301.9,False,2024-11-15
9,Female,False,True,False,28,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,104.8,3046.05,True,2025-04-26
10,Male,False,False,True,62,True,No,DSL,Yes,Yes,No,No,No,No,One year,False,Bank transfer (automatic),56.15,3487.95,False,2025-01-09
11,Male,False,True,True,13,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,True,Mailed check,49.95,587.45,False,2025-03-04
12,Male,False,False,False,16,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),18.95,326.8,False,2024-08-02
13,Male,False,True,False,58,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,False,Credit card (automatic),100.35,5681.1,False,2024-12-31
14,Male,False,False,False,49,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),103.7,5036.3,True,2024-10-06
15,Male,False,False,False,25,True,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,105.5,2686.05,False,2025-04-23
16,Female,False,True,True,69,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),113.25,7895.15,False,2024-09-03
17,Female,False,False,False,52,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.65,1022.95,False,2024-12-09
18,Male,False,False,True,71,True,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,False,Bank transfer (automatic),106.7,7382.25,False,2024-05-24
19,Female,False,True,True,10,True,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,False,Credit card (automatic),55.2,528.35,True,2024-09-28
20,Female,False,False,False,21,True,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,True,Electronic check,90.05,1862.9,False,2024-05-15
21,Male,True,False,False,1,False,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,True,Electronic check,39.65,39.65,True,2025-01-23
22,Male,False,True,False,12,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),19.8,202.25,False,2024-06-19
23,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.15,20.15,True,2025-04-03
24,Female,False,True,False,58,True,Yes,DSL,No,Yes,No,Yes,No,No,Two year,True,Credit card (automatic),59.9,3505.1,False,2024-08-22
25,Male,False,True,True,49,True,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,False,Credit card (automatic),59.6,2970.3,False,2024-11-18
26,Female,False,False,False,30,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,True,Bank transfer (automatic),55.3,1530.6,False,2024-10-20
27,Male,False,True,True,47,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,99.35,4749.15,True,2024-07-21
28,Male,False,True,True,1,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,False,Electronic check,30.2,30.2,True,2024-07-25
29,Male,False,True,False,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),90.25,6369.45,False,2024-12-27
30,Female,False,False,True,17,True,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,True,Mailed check,64.7,1093.1,True,2024-11-17
31,Female,True,True,False,71,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,True,Credit card (automatic),96.35,6766.95,False,2024-11-20
32,Male,True,True,False,2,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),95.5,181.65,False,2024-05-07
33,Female,False,True,True,27,True,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,False,Mailed check,66.15,1874.45,False,2024-05-29
34,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),20.2,20.2,False,2024-07-07
